filename,display_name,username,date_joined,location,username_changes,last_username_change,connected_via,verified,verified_since,has_safety_warning,has_info_icon
Screenshot_20260503-184128.png,frog,@Frogincrisis,January 2024,Mongolia,10,April 2026,Mongolia Android App,true,March 2026,true,false
Screenshot_20260503-184100.png,Tortoise,@TortoiseInCrise,May 2026,Nigeria,,,"Web",false,,true,false
Screenshot_20260504-062838.png,Panda.,@Panda48382704,June 2024,Nigeria,,,"Nigeria Android App",false,,true,false
Screenshot_20260504-062742.png,Owl,@HootCuisine,December 2025,India,2,December 2025,India Android App,true,May 2026,true,false
Screenshot_20260503-180239.png,Lion,@LionInCrisis,April 2026,South Asia,2,April 2026,Web,true,May 2026,true,false
Screenshot_20260503-142144.png,Black Mamba,@Mambaincrisis,October 2025,Africa,8,March 2026,Africa App Store,false,,true,false
Screenshot_20260503-184936.png,Snake,@sssnakeInCrisis,April 2024,Africa,3,March 2026,Africa Android App,false,,true,false
Screenshot_20260503-141458.png,Bad Badger,@badgerincrisis,May 2026,Nigeria,,,"Web",false,,false,true
Screenshot_20260503-165854.png,WartHog,@StankAssHog,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-184300.png,Pig,@pigincrisis,January 2026,Nigeria,1,January 2026,Nigeria App Store,false,,true,false
Screenshot_20260503-171809.png,Goat,@imaboredgoat,July 2024,India,4,January 2026,India Android App,true,April 2026,true,false
Screenshot_20260504-062621.png,Owl,@owltwting,May 2026,,,,"Web",false,,false,false
Screenshot_20260504-062806.png,Cheetah,@fastasfucq,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-160727.png,Ape,@Ape635321347572,May 2026,,,,"Web",true,May 2026,false,false
Screenshot_20260504-063512.png,goat,@ghgoat_,January 2019,Africa,1,July 2025,North America App Store,true,July 2025,false,true
Screenshot_20260503-142008.png,Bee,@BeeInCrisis,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-141517.png,Snail,@1snailincrisis,May 2026,,,,"Web",false,,false,false
Screenshot_20260504-063114.png,frog,@croakdealer,May 2026,,,,"Web",true,May 2026,false,false
Screenshot_20260503-165517.png,Octopus,@octopuzincrisis,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-165259.png,T-Rex,@dinoincrisis,February 2026,South Asia,1,February 2026,South Asia App Store,true,February 2026,false,true
Screenshot_20260503-184312.png,Goat,@imaboredgoat,July 2024,India,4,January 2026,India Android App,true,April 2026,true,false
Screenshot_20260503-183744.png,Pigeon,@GigaGreNinja,October 2025,India,1,October 2025,India Android App,false,,true,false
Screenshot_20260504-062708.png,Cassowary,@cassowarybird,April 2026,Kenya,1,April 2026,Web,true,May 2026,false,true
Screenshot_20260503-180927.png,Cloudy Catshark,@scyliorincrisis,May 2026,,,,"Web",false,,false,false
Screenshot_20260504-063007.png,octopus,@WeBeKraken,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-142045.png,Squirrel,@SquirrelDih,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-160741.png,Lynx,@Lynxtweeting,May 2026,,,,"Web",true,May 2026,false,false
Screenshot_20260503-160755.png,sheep,@sheeptwting,May 2026,,,,"Web",true,May 2026,false,false
Screenshot_20260504-062929.png,Raccoon,@raccoontlk,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-172022.png,Raven,@RKS1231740,March 2024,South Asia,,,"South Asia Android App",false,,false,true
Screenshot_20260504-062914.png,Lion,@_Jsins,January 2024,Ghana,1,January 2024,Ghana App Store,false,,false,true
Screenshot_20260503-141827.png,Monkey,@monkeyincrisis,February 2026,India,1,February 2026,India Android App,true,May 2026,false,true
Screenshot_20260503-184206.png,the bull,@BullOnStandby,January 2026,India,1,April 2026,Web,true,April 2026,false,true
Screenshot_20260503-140442.png,Farmer,@l3vvrayson,January 2023,Kenya,3,August 2024,Kenya Android App,false,,true,false
Screenshot_20260503-142057.png,Catincrissis,@NobodyTellsU,February 2026,Nigeria,1,February 2026,Nigeria App Store,false,,true,false
Screenshot_20260504-062645.png,CROW,@CrowCrisis1,April 2026,South Asia,1,April 2026,Web,true,April 2026,true,false
Screenshot_20260503-171702.png,Brachiosaur,@longnecktie,February 2026,India,2,February 2026,India App Store,false,,false,true
Screenshot_20260503-160815.png,Crane,@CraneInCrisis,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-141949.png,Squirrel,@NutsInCrisis,April 2026,India,1,April 2026,Web,true,April 2026,false,true
Screenshot_20260503-141801.png,Horse,@Horseincrisis_,February 2026,South Asia,3,April 2026,South Asia Android App,true,April 2026,false,true
Screenshot_20260503-185300.png,Chicken,@FarmChickenBob,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-183759.png,Lizard,@LizardIncrisis,June 2025,India,1,June 2025,India Android App,false,,false,true
Screenshot_20260503-141357.png,Dog,@cooldogify,March 2026,India,1,March 2026,India Android App,false,,false,true
